"input" "reason" "matches" "primaryIdentifier" "symbol" "source" "name" "class" "secondaryIdentifier" "organism.shortName"
"wde" "MATCH" "1" "FBgn0027499" "wde" "FlyBase" "windei" "Gene" "CG12340" "D. melanogaster"
"mt:Cyt-b" "MATCH" "1" "FBgn0013678" "mt:Cyt-b" "FlyBase" "mitochondrial Cytochrome b" "Gene" "CG34090" "D. melanogaster"
"l(3)72Ab" "MATCH" "1" "FBgn0263599" "l(3)72Ab" "FlyBase" "lethal (3) 72Ab" "Gene" "CG5931" "D. melanogaster"
"Oga" "MATCH" "1" "FBgn0038870" "Oga" "FlyBase" "O-GlcNAcase" "Gene" "CG5871" "D. melanogaster"
"mt:ND4L" "MATCH" "1" "FBgn0013683" "mt:ND4L" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 4L" "Gene" "CG34086" "D. melanogaster"
"Zir" "MATCH" "1" "FBgn0031216" "Zir" "FlyBase" "Zizimin-related" "Gene" "CG11376" "D. melanogaster"
"Nipped-A" "MATCH" "1" "FBgn0053554" "Nipped-A" "FlyBase" "Nipped-A" "Gene" "CG33554" "D. melanogaster"
"mt:CoIII" "MATCH" "1" "FBgn0013676" "mt:CoIII" "FlyBase" "mitochondrial Cytochrome c oxidase subunit III" "Gene" "CG34074" "D. melanogaster"
"FANCI" "MATCH" "1" "FBgn0033354" "FANCI" "FlyBase" "Fanconi anemia complementation group I homologue" "Gene" "CG13745" "D. melanogaster"
"Set1" "MATCH" "1" "FBgn0040022" "Set1" "FlyBase" "" "Gene" "CG40351" "D. melanogaster"
"mt:ND6" "MATCH" "1" "FBgn0013685" "mt:ND6" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 6" "Gene" "CG34089" "D. melanogaster"
"mt:ND5" "MATCH" "1" "FBgn0013684" "mt:ND5" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 5" "Gene" "CG34083" "D. melanogaster"
