chromosome	start	stop	gene	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts 
chrX	11339872	11344734	NM_001103484	0	+	11340451	11344095	0	4	625,139,667,759,	0,734,3373,4103,
chrX	2583744	2585380	NM_001258573	0	-	2584291	2585207	0	4	651,86,269,383,	0,718,922,1253,
chrX	6035752	6037800	NM_001258611	0	-	6035992	6037090	0	3	1226,50,43,	0,1316,2005,
chrX	10056075	10070868	NM_001258674	0	-	10057295	10070205	0	7	1654,150,130,480,137,159,372,	0,3615,4372,4591,5136,14066,14421,
chrX	10055628	10070868	NM_001258675	0	-	10057295	10070205	0	6	2101,130,480,137,159,308,	0,4819,5038,5583,14513,14932,
chrX	10057119	10070868	NM_001258676	0	-	10057243	10070205	0	6	546,130,480,137,582,30,	0,3328,3547,4092,13022,13719,
chrX	11606493	11611652	NM_001258696	0	-	11606782	11610828	0	9	1462,139,266,88,605,312,212,358,121,	0,1520,1740,2059,2209,2908,3708,3983,5038,
chrX	11606493	11611652	NM_001258697	0	-	11606782	11610828	0	8	1462,139,266,88,605,212,358,121,	0,1520,1740,2059,2209,3708,3983,5038,
chrX	11606493	11611652	NM_001258698	0	-	11606782	11610828	0	9	1462,139,263,88,605,312,212,358,121,	0,1520,1740,2059,2209,2908,3708,3983,5038,
chrX	18088724	18090509	NM_001258799	0	-	18089869	18090422	0	3	507,943,193,	0,570,1592,
chrX	1879018	1879774	NM_001272217	0	-	1879138	1879490	0	3	332,147,119,	0,393,637,
chrX	2948033	2949120	NM_001272270	0	+	2948105	2948924	0	2	115,903,	0,184,
chrX	12766569	12772851	NM_001272565	0	+	12767163	12770621	0	4	109,386,134,2937,	0,399,3121,3345,
chrX	2072412	2074890	NM_001297872	0	+	2073710	2074796	0	2	285,1757,	0,721,
chrX	2187819	2188919	NM_001297880	0	+	2187896	2188475	0	1	1100,	0,
chrX	5942605	5945250	NM_001297989	0	+	5942682	5944387	0	5	236,186,139,235,1578,	0,297,549,771,1067,
chrX	5945681	5948353	NM_001297990	0	+	5945760	5947415	0	5	238,186,139,235,1599,	0,299,551,777,1073,
chrX	7935171	7935792	NM_001298066	0	+	7935202	7935717	0	2	268,294,	0,327,
chrX	13373758	13380160	NM_001298277	0	+	13373867	13379581	0	7	38,241,145,90,263,824,728,	0,104,482,4099,4254,4788,5674,
chrX	15739229	15740417	NM_001298365	0	+	15739402	15739978	0	1	1188,	0,
chrX	19616195	19616817	NM_001298520	0	+	19616275	19616761	0	2	211,348,	0,274,
chrX	6035752	6037262	NM_078498	0	-	6035992	6037090	0	2	1226,194,	0,1316,
chrX	7934897	7935792	NM_080427	0	+	7935202	7935717	0	3	35,265,294,	0,277,601,
chrX	939169	940805	NM_130516	0	-	939463	940733	0	3	507,354,654,	0,563,982,
chrX	1879018	1879580	NM_130599	0	-	1879138	1879490	0	2	332,169,	0,393,
chrX	2072412	2074890	NM_130621	0	+	2073710	2074796	0	2	313,1757,	0,721,
chrX	2187819	2188710	NM_130629	0	+	2187896	2188475	0	1	891,	0,
chrX	2583744	2585699	NM_130654	0	-	2584291	2585207	0	5	651,140,269,415,49,	0,718,922,1253,1906,
chrX	2948033	2948948	NM_130690	0	+	2948105	2948924	0	2	115,731,	0,184,
chrX	5942605	5944622	NM_132052	0	+	5942682	5944387	0	5	236,186,139,235,950,	0,297,549,771,1067,
chrX	6219956	6222719	NM_132071	0	+	6221381	6222440	0	2	461,1340,	0,1423,
chrX	10057119	10070868	NM_132373	0	-	10057243	10070205	0	6	546,130,480,137,159,372,	0,3328,3547,4092,13022,13377,
chrX	11606289	11611652	NM_132507	0	-	11606782	11610828	0	9	1666,139,266,88,605,312,212,358,121,	0,1724,1944,2263,2413,3112,3912,4187,5242,
chrX	12765265	12770978	NM_132600	0	+	12767163	12770621	0	4	247,386,134,1064,	0,1703,4425,4649,
chrX	13370994	13380160	NM_132651	0	+	13373867	13379581	0	7	373,241,145,90,263,824,728,	0,2868,3246,6863,7018,7552,8438,
chrX	15739229	15740242	NM_132836	0	+	15739402	15739978	0	1	1013,	0,
chrX	17248371	17249502	NM_132981	0	-	17248597	17249302	0	2	956,115,	0,1016,
chrX	19616195	19616825	NM_134484	0	+	19616275	19616761	0	2	211,356,	0,274,
chrX	624756	625203	NM_144243	0	-	624895	625090	0	2	349,38,	0,409,
chrX	5945681	5947851	NM_167055	0	+	5945760	5947415	0	5	238,186,139,235,1097,	0,299,551,777,1073,
chrX	6220254	6222719	NM_167062	0	+	6221381	6222440	0	3	163,95,1340,	0,223,1125,
chrX	10057119	10070868	NM_167215	0	-	10057243	10070205	0	6	546,130,480,137,159,30,	0,3328,3547,4092,13022,13719,
chrX	10055628	10070868	NM_167216	0	-	10057243	10070205	0	5	2037,130,480,137,727,	0,4819,5038,5583,14513,
chrX	12765265	12772851	NM_167337	0	+	12767163	12770621	0	4	338,386,134,2937,	0,1703,4425,4649,
chrX	13370605	13380160	NM_167365	0	+	13370786	13379581	0	7	197,241,145,90,263,824,728,	0,3257,3635,7252,7407,7941,8827,
chrX	13370994	13380160	NM_167366	0	+	13373867	13379581	0	7	267,241,145,90,263,824,728,	0,2868,3246,6863,7018,7552,8438,
chrX	13370994	13380160	NM_167367	0	+	13373867	13379581	0	7	220,241,145,90,263,824,728,	0,2868,3246,6863,7018,7552,8438,
chrX	13370994	13380160	NM_167368	0	+	13373867	13379581	0	7	66,241,145,90,263,824,728,	0,2868,3246,6863,7018,7552,8438,
chrX	13370994	13380160	NM_167369	0	+	13373867	13379581	0	7	532,241,145,90,263,824,728,	0,2868,3246,6863,7018,7552,8438,
chrX	18088724	18090509	NM_206776	0	-	18089007	18090422	0	4	507,630,255,193,	0,570,1258,1592,
chr2L	21419530	21419943	NM_001032113	0	-	21419575	21419887	0	1	413,	0,
chr2L	21424592	21425005	NM_001032113	0	-	21424637	21424949	0	1	413,	0,
chr2L	21434702	21435115	NM_001032113	0	-	21434747	21435059	0	1	413,	0,
chr2L	21439588	21440001	NM_001032113	0	-	21439633	21439945	0	1	413,	0,
chr2L	21453789	21454202	NM_001032113	0	-	21453834	21454146	0	1	413,	0,
chr2L	21484084	21484497	NM_001032113	0	-	21484129	21484441	0	1	413,	0,
chr2L	21489233	21489646	NM_001032113	0	-	21489278	21489590	0	1	413,	0,
chr2L	21494278	21494691	NM_001032113	0	-	21494323	21494635	0	1	413,	0,
chr2L	21499323	21499736	NM_001032113	0	-	21499368	21499680	0	1	413,	0,
chr2L	21519510	21519923	NM_001032113	0	-	21519555	21519867	0	1	413,	0,
chr2L	21420128	21420657	NM_001032114	0	+	21420185	21420596	0	1	529,	0,
chr2L	21425192	21425721	NM_001032114	0	+	21425249	21425660	0	1	529,	0,
chr2L	21430254	21430783	NM_001032114	0	+	21430311	21430722	0	1	529,	0,
chr2L	21435298	21435827	NM_001032114	0	+	21435355	21435766	0	1	529,	0,
chr2L	21440186	21440715	NM_001032114	0	+	21440243	21440654	0	1	529,	0,
chr2L	21454387	21454916	NM_001032114	0	+	21454444	21454855	0	1	529,	0,
chr2L	21484680	21485209	NM_001032114	0	+	21484737	21485148	0	1	529,	0,
chr2L	21489829	21490358	NM_001032114	0	+	21489886	21490297	0	1	529,	0,
chr2L	21494874	21495403	NM_001032114	0	+	21494931	21495342	0	1	529,	0,
