chromosome,start,stop
chrX,11339872,11344734
chrX,2583744,2585380
chrX,6035752,6037800
chrX,10056075,10070868
chrX,10055628,10070868
chrX,10057119,10070868
chrX,11606493,11611652
chrX,11606493,11611652
chrX,11606493,11611652
chrX,18088724,18090509
chrX,1879018,1879774
chrX,2948033,2949120
chrX,12766569,12772851
chrX,2072412,2074890
chrX,2187819,2188919
chrX,5942605,5945250
chrX,5945681,5948353
chrX,7935171,7935792
chrX,13373758,13380160
chrX,15739229,15740417
chrX,19616195,19616817
chrX,6035752,6037262
chrX,7934897,7935792
chrX,939169,940805
chrX,1879018,1879580
chrX,2072412,2074890
chrX,2187819,2188710
chrX,2583744,2585699
chrX,2948033,2948948
chrX,5942605,5944622
chrX,6219956,6222719
chrX,10057119,10070868
chrX,11606289,11611652
chrX,12765265,12770978
chrX,13370994,13380160
chrX,15739229,15740242
chrX,17248371,17249502
chrX,19616195,19616825
chrX,624756,625203
chrX,5945681,5947851
chrX,6220254,6222719
chrX,10057119,10070868
chrX,10055628,10070868
chrX,12765265,12772851
chrX,13370605,13380160
chrX,13370994,13380160
chrX,13370994,13380160
chrX,13370994,13380160
chrX,13370994,13380160
chrX,18088724,18090509
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
